Learning Rate, Gamma, Reward 
0.1, 0.15000000000000002, -224.0
0.1, 0.15000000000000002, -189.0
0.1, 0.15000000000000002, -253.0
0.1, 0.15000000000000002, -144.0
0.1, 0.15000000000000002, -157.0
0.1, 0.15000000000000002, -127.0
0.1, 0.15000000000000002, -377.0
0.1, 0.15000000000000002, -188.0
0.1, 0.15000000000000002, 21.0
0.1, 0.15000000000000002, -134.0
0.1, 0.15000000000000002, -7.0
0.1, 0.15000000000000002, -12.0
0.1, 0.15000000000000002, -183.0
0.1, 0.15000000000000002, -149.0
0.1, 0.15000000000000002, -100.0
0.1, 0.15000000000000002, -98.0
0.1, 0.15000000000000002, -175.0
0.1, 0.15000000000000002, -25.0
0.1, 0.15000000000000002, -142.0
0.1, 0.15000000000000002, -111.0
0.1, 0.15000000000000002, -73.0
0.1, 0.15000000000000002, -51.0
0.1, 0.15000000000000002, -88.0
0.1, 0.15000000000000002, -45.0
0.1, 0.15000000000000002, -25.0
0.1, 0.15000000000000002, -252.0
0.1, 0.15000000000000002, -177.0
0.1, 0.15000000000000002, -129.0
0.1, 0.15000000000000002, -102.0
0.1, 0.2, -3208.0
0.1, 0.2, -386.0
0.1, 0.2, -196.0
0.1, 0.2, -1016.0
0.1, 0.2, -217.0
0.1, 0.2, -608.0
0.1, 0.2, -92.0
0.1, 0.2, -1515.0
0.1, 0.2, -403.0
0.1, 0.2, -323.0
0.1, 0.2, -174.0
0.1, 0.2, -959.0
0.1, 0.2, -741.0
0.1, 0.2, -209.0
0.1, 0.2, -382.0
0.1, 0.2, -387.0
0.1, 0.2, -582.0
0.1, 0.2, -345.0
0.1, 0.2, -682.0
0.1, 0.2, -229.0
0.1, 0.2, -100.0
0.1, 0.2, -723.0
0.1, 0.2, -205.0
0.1, 0.2, -318.0
0.1, 0.2, -179.0
0.1, 0.2, -53.0
0.1, 0.2, -215.0
0.1, 0.2, -132.0
0.1, 0.2, -708.0
0.1, 0.2, -132.0
0.1, 0.2, -641.0
0.1, 0.2, -7.0
0.1, 0.2, -141.0
0.1, 0.2, -414.0
0.1, 0.2, -131.0
0.1, 0.2, -1044.0
0.1, 0.2, -382.0
0.1, 0.2, -271.0
0.1, 0.2, -252.0
0.1, 0.2, -130.0
0.1, 0.2, -75.0
0.1, 0.2, -93.0
0.1, 0.2, -193.0
0.1, 0.2, -227.0
0.1, 0.2, -293.0
0.1, 0.2, -102.0
0.1, 0.2, -695.0
0.1, 0.2, -136.0
0.1, 0.2, -50.0
0.1, 0.2, -614.0
0.1, 0.2, -45.0
0.1, 0.2, -95.0
0.1, 0.2, -2087.0
0.1, 0.2, -204.0
0.1, 0.2, -557.0
0.1, 0.2, -267.0
0.1, 0.2, -425.0
0.1, 0.2, -140.0
0.1, 0.2, -196.0
0.1, 0.2, -79.0
0.1, 0.2, -269.0
0.1, 0.2, -108.0
0.1, 0.2, -415.0
0.1, 0.2, -150.0
0.1, 0.2, 5.0
0.1, 0.2, -92.0
0.1, 0.2, -39.0
0.1, 0.2, -19.0
0.1, 0.2, -212.0
0.1, 0.2, -42.0
0.1, 0.2, -336.0
0.1, 0.2, -1.0
0.1, 0.2, -178.0
0.1, 0.2, -33.0
0.1, 0.2, -628.0
0.1, 0.2, 10.0
0.1, 0.2, -139.0
0.1, 0.2, -62.0
0.1, 0.2, -1.0
0.1, 0.2, -119.0
0.1, 0.2, -420.0
0.1, 0.2, -209.0
0.1, 0.2, -58.0
0.1, 0.2, 9.0
0.1, 0.2, -20.0
0.1, 0.2, -84.0
0.1, 0.2, -130.0
0.1, 0.2, -162.0
0.1, 0.2, -47.0
0.1, 0.2, -273.0
0.1, 0.2, -76.0
0.1, 0.2, -57.0
0.1, 0.2, -13.0
0.1, 0.2, -69.0
0.1, 0.2, -56.0
0.1, 0.2, -205.0
0.1, 0.2, -825.0
0.1, 0.2, -47.0
0.1, 0.2, -110.0
0.1, 0.2, -240.0
0.1, 0.25, -517.0
0.1, 0.25, -1674.0
0.1, 0.25, -1100.0
0.1, 0.25, -498.0
0.1, 0.25, -266.0
0.1, 0.25, -417.0
0.1, 0.25, -155.0
0.1, 0.25, -794.0
0.1, 0.25, -549.0
0.1, 0.25, -839.0
0.1, 0.25, -670.0
0.1, 0.25, -374.0
0.1, 0.25, -943.0
0.1, 0.25, -285.0
0.1, 0.25, -405.0
0.1, 0.25, -342.0
0.1, 0.25, -422.0
0.1, 0.25, -293.0
0.1, 0.25, -87.0
0.1, 0.25, -28.0
0.1, 0.25, -40.0
0.1, 0.25, -744.0
0.1, 0.25, -266.0
0.1, 0.25, -264.0
0.1, 0.25, -76.0
0.1, 0.25, -133.0
0.1, 0.25, -66.0
0.1, 0.25, -302.0
0.1, 0.25, -419.0
0.1, 0.25, -138.0
0.1, 0.25, -127.0
0.1, 0.25, -373.0
0.1, 0.25, -353.0
0.1, 0.25, -118.0
0.1, 0.25, -1205.0
0.1, 0.25, -221.0
0.1, 0.25, -219.0
0.1, 0.25, -184.0
0.1, 0.25, -561.0
0.1, 0.25, -242.0
0.1, 0.25, -1409.0
0.1, 0.25, -217.0
0.1, 0.25, -81.0
0.1, 0.25, -46.0
0.1, 0.25, -150.0
0.1, 0.25, -177.0
0.1, 0.25, -136.0
0.1, 0.25, -81.0
0.1, 0.25, -85.0
0.1, 0.25, -16.0
0.1, 0.25, -519.0
0.1, 0.25, -40.0
0.1, 0.25, -78.0
0.1, 0.25, -128.0
0.1, 0.25, -45.0
0.1, 0.25, -173.0
0.1, 0.25, -86.0
0.1, 0.25, -140.0
0.1, 0.25, -322.0
0.1, 0.25, -296.0
0.1, 0.25, -456.0
0.1, 0.25, -27.0
0.1, 0.25, -457.0
0.1, 0.25, -18.0
0.1, 0.25, -115.0
0.1, 0.25, -389.0
0.1, 0.25, -141.0
0.1, 0.25, -114.0
0.1, 0.25, -18.0
0.1, 0.25, -390.0
0.1, 0.25, -111.0
0.1, 0.25, -131.0
0.1, 0.25, -42.0
0.1, 0.25, -124.0
0.1, 0.25, -59.0
0.1, 0.25, -243.0
0.1, 0.25, -504.0
0.1, 0.25, -15.0
0.1, 0.25, -49.0
0.1, 0.25, -84.0
0.1, 0.25, -72.0
0.1, 0.25, 36.0
0.1, 0.25, -77.0
0.1, 0.25, -764.0
0.1, 0.25, -218.0
0.1, 0.25, -9.0
0.1, 0.25, -83.0
0.1, 0.25, -18.0
0.1, 0.25, -274.0
0.1, 0.25, -29.0
0.1, 0.25, -63.0
0.1, 0.25, -257.0
0.1, 0.25, -154.0
0.1, 0.25, -5.0
0.1, 0.25, -85.0
0.1, 0.25, -111.0
0.1, 0.25, -287.0
0.1, 0.25, -69.0
0.1, 0.25, 8.0
0.1, 0.25, -70.0
0.1, 0.3, -396.0
